Engine Speed,Engine Torque,Power,ALPHA [%],Bsfc,Fuel_kg_h,Fuel_mg_st,Airmass_kg_h
3600,40.8,15.38,100.0,274.38,4.19,19.54,4.22
3600,40.0,15.08,86.9,274.84,4.17,19.19,4.16
3600,35.0,13.2,80.6,283.75,3.72,17.34,3.75
3600,30.0,11.31,68.3,296.44,3.38,15.53,3.36
3600,25.0,9.41,55.1,315.39,2.95,13.74,2.97
3600,20.0,7.54,49.3,341.02,2.55,11.9,2.57
3600,15.0,5.65,44.3,387.61,2.18,10.14,2.19
3600,10.0,12313.0,31.8,481.37,1.81,8.4,1.82
3600,5.0,1.88,27.8,786.65,1.45,6.84,1.48
3400,43.8,15.59,100.0,264.75,4.12,20.23,4.12
3400,40.0,14.24,86.8,270.29,3.83,18.87,3.84
3400,35.0,12.46,74.4,279.08,3.5,17.05,3.48
3400,30.0,10.68,58.9,290.97,3.1,15.24,3.11
3400,25.0,8.9,48.9,309.55,2.76,13.51,2.75
3400,20.0,7.11,43.8,334.58,2.34,11.67,2.38
3400,15.0,5.34,36.2,378.25,2.0,9.9,2.02
3400,10.0,3.56,30.0,473.76,1.7,8.28,1.68
3400,5.0,1.78,26.0,754.6,1.35,6.6,1.35
3200,44.8,15.0,100.0,258.69,3.87,20.21,3.88
3200,44.8,15.01,99.9,259.9,3.94,20.31,3.9
3200,40.0,13.41,80.2,264.98,3.54,18.51,3.56
3200,35.0,11.73,69.4,273.99,3.2,16.75,3.2
3200,30.0,10.05,57.3,285.21,2.85,14.94,2.87
3200,25.0,8.38,48.4,300.51,2.52,13.11,2.52
3200,20.0,6.7,42.9,323.65,2.18,11.3,2.17
3200,15.0,5.02,39.1,366.3,1.82,9.59,1.83
3200,10.0,3.35,30.6,456.34,1.53,7.97,1.52
3200,5.0,1.68,27.5,723.98,1.21,6.32,1.21
3000,46.3,14.54,100.0,252.68,3.65,20.41,3.67
3000,45.0,14.12,82.7,254.76,3.61,19.99,3.59
3000,40.0,12.57,72.9,258.15,3.26,18.02,3.25
3000,35.0,10.99,61.5,267.86,2.93,16.36,2.94
3000,30.0,9.42,53.1,278.55,2.62,14.58,2.62
3000,25.0,7.85,46.3,291.3,2.25,12.71,2.29
3000,20.0,6.29,41.1,316.34,1.98,11.06,1.97
3000,15.0,4.71,35.7,351.17,1.64,9.19,1.65
3000,10.0,3.14,27.3,432.34,1.31,7.55,1.36
3000,5.0,1.57,18.2,678.1,1.08,5.91,1.06
2800,49.6,14.54,100.0,249.04,3.58,21.56,3.62
2800,49.5,14.52,99.9,248.87,3.67,21.5,3.62
2800,45.0,13.18,70.9,252.43,3.34,19.81,3.33
2800,40.0,11.73,60.8,257.86,3.07,18.0,3.02
